"General.Location","n","longitude","latitude"
"King Pavilion",3,-93.653478,42.0288412
"Lincoln Way and North Hazel Avenue",3,-93.6267992,42.022851
"Lincoln Way and North Russell Avenue",3,-93.6283456,42.0228388
"Lincoln Way and South Dakota",3,-93.6787027,42.0229015
"Lincoln Way and South Hyland Avenue",3,-93.6555907,42.0227264
"LINCOLN WAY/BEACH RD",3,-93.6394928,42.0227678
"Lloyd Veterinary Medical Center",3,-93.631937,42.0064424
"Lot 112D",3,-93.6405435,42.032131
"Lot 112H",3,-93.6400729,42.0347726
"Lot 115",3,-93.6428661,42.0342308
"Lot 13",3,-93.6510447,42.0274772
"Lot 14B",3,NA,NA
"Lot 35",3,-93.6454805,42.0317614
"Lot 37",3,-93.6459656,42.029835
"Lot 39",3,-93.6424207,42.029879
"Lot 41",3,-93.6400635,42.0292863
"Lot 45",3,-93.6421649,42.0278571
"Lot 57",3,-93.6384375,42.0267915
"Lot 59",3,NA,NA
"Lot 61H",3,-93.6502557,42.0136774
"Lot A1",3,-93.6378505,42.0192336
"LOT B6",3,-93.6365107,42.0167789
"Lot C1",3,-93.6349461,42.0220732
"Lot C2",3,-93.6348454,42.0199474
"Lot D2",3,-93.6332424,42.018666
"Lot S1",3,-93.637653,42.0127743
